text,label,dataset,language,text_original,sentence_count,word_count,char_count,script_tamil,script_malayalam,script_kannada,script_latin,dominant_script,code_mix_index,label_encoded
sorry sir nim yella video nan nodidini yeno manku badidu nodona hantha download madidde e video nodi delete madidini sir thanks,Mixed_feelings,kannada_sentiment,kannada,Sorry sir nim yella video nan nodidini yeno manku badidu nodona hantha download madidde e video nodi delete madidini sir thanks,1,21,127,0,0,0,107,latin,0.0,2
bro nin ello hogbutte bedu bro,Positive,kannada_sentiment,kannada,Bro nin ello hogbutte bedu bro,1,6,30,0,0,0,25,latin,0.0,0
ಪೃಥ್ವಿ ಅಂಬರ್ ಏನ್ ಗುರೂ ನೀನು national award winning actor ಗುರೂ ನೀನು.ನಿನ್ನ ನಟನೆಗೆ ನಾನಂತೂ ಫ್ಯಾನ್ ಮಾರಾಯ.ಎಷ್ಠು ಎನರ್ಜಿ ಇದ್ಯೋ ನಿನ್ನಲ್ಲಿ,Positive,kannada_sentiment,kannada,ಪೃಥ್ವಿ ಅಂಬರ್ ಏನ್  ಗುರೂ ನೀನು national award winning actor ಗುರೂ ನೀನು.ನಿನ್ನ ನಟನೆಗೆ ನಾನಂತೂ ಫ್ಯಾನ್ ಮಾರಾಯ.ಎಷ್ಠು ಎನರ್ಜಿ ಇದ್ಯೋ ನಿನ್ನಲ್ಲಿ,1,18,127,0,0,83,25,kannada,22.22222222222222,0
ಸರ್ ಅಶ್ವತ್ಥಾಮ ಆ ವೈದ್ಯರ ಮನೆಗೆ ಬರುತ್ತಿದ್ದ ಅಂತ ಹೇಳುದ್ರಿ ಅವನಿಗೆ ಹೇಗೆ ಗೊತ್ತು ಅವರು ವೈದ್ಯರು ಅಂತ ಮತ್ತೆ ಮುಖ್ಯವಾಗಿ ಮಹಾಭಾರತ ಕಾಲದಲ್ಲಿ ಹಿಂದಿ,unknown_state,kannada_sentiment,kannada,ಸರ್ ಅಶ್ವತ್ಥಾಮ ಆ ವೈದ್ಯರ ಮನೆಗೆ ಬರುತ್ತಿದ್ದ ಅಂತ ಹೇಳುದ್ರಿ ಅವನಿಗೆ ಹೇಗೆ  ಗೊತ್ತು ಅವರು ವೈದ್ಯರು ಅಂತ ಮತ್ತೆ ಮುಖ್ಯವಾಗಿ ಮಹಾಭಾರತ ಕಾಲದಲ್ಲಿ ಹಿಂದಿ,1,19,127,0,0,109,0,kannada,0.0,3
swalpa jasti bildup ayitu annisutte.,Negative,kannada_sentiment,kannada,Swalpa jasti bildup ayitu annisutte.,1,5,36,0,0,0,31,latin,0.0,1
ರಕ್ಷಿತ್ ಶೆಟ್ಟಿ..nಅವನೇ ಶ್ರೀ ಮನ್ನಾರಾಯಣ.,Positive,kannada_sentiment,kannada,ರಕ್ಷಿತ್ ಶೆಟ್ಟಿ.....nಅವನೇ ಶ್ರೀ ಮನ್ನಾರಾಯಣ...,1,4,37,0,0,30,1,kannada,25.0,0
super guru munduvarisi,Positive,kannada_sentiment,kannada,Super guru munduvarisi,1,3,22,0,0,0,20,latin,0.0,0
tik tok super app anna,Positive,kannada_sentiment,kannada,Tik tok super app anna,1,5,22,0,0,0,18,latin,0.0,0
yan guru tik tok trolars mirisibite guru tik tok stars nin video nodidre madiro videos muti muti nodkobeku atara idea,Positive,kannada_sentiment,kannada,Yan guru tik  tok  trolars mirisibite guru Tik Tok stars nin  video nodidre madiro videos muti muti nodkobeku Atara idea,1,20,117,0,0,0,98,latin,0.0,0
historynbefore sanvinafter shanvi,unknown_state,kannada_sentiment,kannada,HistorynBefore sanvinAfter shanvi,1,3,33,0,0,0,31,latin,0.0,3
