sample_id,text,detected_word,wsd_chosen_sense,confidence,is_ambiguous_word,correct_sense (human-filled),is_correct (yes/no)
1,intha padam vetri pera vazhthukkal from thalapathy fans,fans,fan_stardom,1.0,no,,
2,adipoli trailer..joseph vijay anna .sikiraangaaa vaangaaa can't wait.waiting fr a huge blast..semma trailer..,trailer,trailer_teaser,1.0,no,,
2,adipoli trailer..joseph vijay anna .sikiraangaaa vaangaaa can't wait.waiting fr a huge blast..semma trailer..,trailer,trailer_teaser,1.0,no,,
3,ട്രൈലെർ സൈലന്റ് അപ്പൊ ഒരു കാര്യം ഉറപ്പാ പടം സൂപ്പർ ഹിറ്റ് ആവും ഏട്ടൻ മുത്താണ് മുത്ത്,ഹിറ്റ്,box_office_collection,1.0,no,,
4,2109 blockbuster list la kaithi kandippa varum,blockbuster,box_office_collection,1.0,no,,
5,ellathayum vida lasta yuvan bgm,bgm,music_bgm,1.0,no,,
6,dislike madidavaru dagar rashimka fans,fans,fan_stardom,1.0,no,,
7,pakka super hit,hit,box_office_collection,1.0,no,,
8,superb trailer ..,trailer,trailer_teaser,1.0,no,,
9,super film. ee song hindi song tu hi haqqeqat pole und kurachokke.,song,music_bgm,1.0,no,,
9,super film. ee song hindi song tu hi haqqeqat pole und kurachokke.,song,music_bgm,1.0,no,,
10,"wow thala semma , yuvan music",music,music_bgm,1.0,no,,
11,thalaiva nee vera level padam sema hit .,hit,box_office_collection,1.0,no,,
12,trailer kandu thudangyalo 7.9m views aarunu. kandu kazinjapo 8m aayi!,trailer,trailer_teaser,1.0,no,,
13,pakka mass film.lalettan,mass,music_bgm,0.5,yes,,
14,super song,song,music_bgm,1.0,no,,
15,thalaivaaa kola mass therikka viduddinga anna .. thalaivaaa mass bgm ellam therikkudhu,mass,music_bgm,0.25,yes,,
15,thalaivaaa kola mass therikka viduddinga anna .. thalaivaaa mass bgm ellam therikkudhu,mass,music_bgm,0.4,yes,,
15,thalaivaaa kola mass therikka viduddinga anna .. thalaivaaa mass bgm ellam therikkudhu,bgm,music_bgm,1.0,no,,
16,therii trailer 1 crore views guarantee,trailer,trailer_teaser,1.0,no,,
16,therii trailer 1 crore views guarantee,crore,box_office_collection,1.0,no,,
17,en chindi bgm guru sakkath..jai asn. from appu abhimani,bgm,music_bgm,1.0,no,,
17,en chindi bgm guru sakkath..jai asn. from appu abhimani,abhimani,fan_stardom,1.0,no,,
18,power pack acting and dialogue delivery and vera level look thala..kola waiting for nerkonda parvai.mass bgm.,acting,hero_character,1.0,no,,
18,power pack acting and dialogue delivery and vera level look thala..kola waiting for nerkonda parvai.mass bgm.,dialogue,dialogue,1.0,no,,
18,power pack acting and dialogue delivery and vera level look thala..kola waiting for nerkonda parvai.mass bgm.,delivery,dialogue,1.0,no,,
18,power pack acting and dialogue delivery and vera level look thala..kola waiting for nerkonda parvai.mass bgm.,mass,music_bgm,1.0,yes,,
18,power pack acting and dialogue delivery and vera level look thala..kola waiting for nerkonda parvai.mass bgm.,bgm,music_bgm,1.0,no,,
19,ഇന്നാണ് ഈ പാട്ട് ശ്രദ്ധിച്ചത് കേട്ടിട്ടും കേട്ടിട്ടും മതിയാകുന്നില്ല,പാട്ട്,music_bgm,1.0,no,,
20,padam kandu mass alla maranamass,mass,music_bgm,0.5,yes,,
21,song കേട്ടുകൊണ്ട് കമന്റ് വായിക്കാൻ എന്തോ രസം,song,music_bgm,1.0,no,,
22,i am waiting for.. tovino kalki trailer tovino fans like here,trailer,trailer_teaser,1.0,no,,
22,i am waiting for.. tovino kalki trailer tovino fans like here,fans,fan_stardom,1.0,no,,
23,pakka hit movie,hit,box_office_collection,1.0,no,,
24,surya na summava surya eppavum mass da,mass,music_bgm,0.5,yes,,
25,sema look annaa super semaa mass therii waiting anna ..,mass,music_bgm,0.5,yes,,
26,superbly song by vijay prakash,song,music_bgm,1.0,no,,
27,pakka flop movie!!,flop,box_office_collection,1.0,no,,
28,dance cheyyan ariyilla ennu swayam kuttapeduthumbozhum character ath avashyapedunundenkil 100 vayass aayalum njangade ikka dance cheyum..ikka uyir.,character,hero_character,1.0,no,,
29,music ನಿಂದ ಇ ಸಿನೆಮಾ 100 ದಿನ teater ನಲ್ಲಿ ಇರತ್ತೆ,music,music_bgm,1.0,no,,
30,mass trailer .. vere level anu,mass,trailer_teaser,1.0,yes,,
30,mass trailer .. vere level anu,trailer,trailer_teaser,1.0,no,,
31,a10 padam ayath kond matrm video keri kand ippo ittichan fans ayavar indel adi like,fans,fan_stardom,1.0,no,,
32,indha trailer paakumbodhu enakkum andha disorder vandhrumo nu irukudhu pa,trailer,trailer_teaser,1.0,no,,
33,"innum neraya,neraya neraya,neraya neraya edir paakuroam ..ppphaaa terrific trailer. thala nee vaaa thala",trailer,trailer_teaser,1.0,no,,
