text,label,dataset,language,text_original,sentence_count,word_count,char_count,script_tamil,script_malayalam,script_kannada,script_latin,dominant_script,code_mix_index,label_encoded
tik tok alli jagala madtidralla adra baggenu ondu video madi anna super agi ugididdira,Not_offensive,kannada_offensive,kannada,Tik tok alli jagala madtidralla adra baggenu ondu video madi anna super agi ugididdira,1,14,86,0,0,0,73,latin,0.0,0
movie rerelease madi plss,Not_offensive,kannada_offensive,kannada,Movie rerelease madi plss,1,4,25,0,0,0,22,latin,0.0,0
amazon prime alli bittidira..yella manele nodtare..,Not_offensive,kannada_offensive,kannada,Amazon prime alli bittidira....yella manele nodtare....,1,6,51,0,0,0,42,latin,0.0,0
guru sure news nanu tik tok dawn lod madeda yavaga nama ndudu tindu nama dashda mala uddha madaka bandro avaga deleted,Not_offensive,kannada_offensive,kannada,Guru sure news nanu tik tok dawn lod madeda yavaga nama nDudu tindu nama dashda mala uddha madaka bandro avaga deleted,1,21,118,0,0,0,98,latin,0.0,0
ಸುದೀಪ್ ಸರ್ ಅಂಡ್ ದರ್ಶನ್ ಸರ್ ಅವರಿಗೆ ಇರೋ ಫ್ಯಾನ್ಸ್ ಫಾಲೋಯಿಂಗ್ ರಕ್ಷಿತ್ ಶೆಟ್ಟಿ ಇಲ್ಲ ಅಂದ್ರು ಸಾಂಗ್ 2m ಮತ್ತು ಟೀಸರ್ 8.5.m ಬೆಂಕಿ ಗುರು ಮೂವಿ ವೇಟಿಂಗ್,Not_offensive,kannada_offensive,kannada,ಸುದೀಪ್ ಸರ್ ಅಂಡ್ ದರ್ಶನ್ ಸರ್ ಅವರಿಗೆ ಇರೋ ಫ್ಯಾನ್ಸ್ ಫಾಲೋಯಿಂಗ್ ರಕ್ಷಿತ್ ಶೆಟ್ಟಿ ಇಲ್ಲ ಅಂದ್ರು ಸಾಂಗ್ 2m  ಮತ್ತು ಟೀಸರ್ 8.5.m ಬೆಂಕಿ ಗುರು ಮೂವಿ  ವೇಟಿಂಗ್,1,22,134,0,0,106,2,kannada,9.090909090909092,0
ade old same story,Offensive_Targeted_Insult_Group,kannada_offensive,kannada,Ade old same story,1,4,18,0,0,0,15,latin,0.0,2
ಏನ್ ಗುರು ನಿನ್ನ ಚರಿತ್ರೆ ಸೃಷ್ಟಿಸುವ ಅವತಾರ ತುಂಬಾ ಚೆನ್ನಾಗಿ ಇದೆ ರಶ್ಮಿಕಾಗೆ ತುಂಬಾ ಉರುಸು,Not_offensive,kannada_offensive,kannada,ಏನ್ ಗುರು ನಿನ್ನ ಚರಿತ್ರೆ ಸೃಷ್ಟಿಸುವ ಅವತಾರ ತುಂಬಾ ಚೆನ್ನಾಗಿ ಇದೆ ರಶ್ಮಿಕಾಗೆ ತುಂಬಾ ಉರುಸು,1,12,79,0,0,68,0,kannada,0.0,0
e tara film ge ella kaitaididdu.. welcooome.. item song iro,Not_offensive,kannada_offensive,kannada,E tara film ge ella kaitaididdu.... Welcooome..... Item song iro,3,10,59,0,0,0,46,latin,0.0,0
super guru,Not_offensive,kannada_offensive,kannada,Super  guru 🥰,1,2,10,0,0,0,9,latin,0.0,0
different aagide song. n,Not_offensive,kannada_offensive,kannada,Different aagide song... n,2,4,24,0,0,0,20,latin,0.0,0
