text,label,dataset,language,text_original,sentence_count,word_count,char_count,script_tamil,script_malayalam,script_kannada,script_latin,dominant_script,code_mix_index,label_encoded,wsd_aspects,wsd_primary_aspect,wsd_aspect_count
first like button vijay setupati fans,unknown_state,tamil_sentiment,tamil,First like button vijay setupati fans,1,6,37,0,0,0,32,latin,0.0,3,"[{""word"": ""fans"", ""aspect"": ""fan_stardom"", ""confidence"": 1.0}]",fan_stardom,1
vetri ne dhanusha pudiche thongitu iru..,Positive,tamil_sentiment,tamil,Vetri ne dhanusha pudiche thongitu iru....,1,6,40,0,0,0,33,latin,0.0,0,[],none,0
ithu romba naal ku munnadi short film'a pathathu! short film name kekka bukka kekka bukka short film'e super'a irrukum!,Positive,tamil_sentiment,tamil,Ithu romba naal ku munnadi Short film'a pathathu! (Short film name: Kekka bukka kekka bukka)Short film'e Super'a irrukum!,2,19,119,0,0,0,96,latin,0.0,0,[],none,0
trending no1 in srilanka.. june 16,Positive,tamil_sentiment,tamil,Trending no1 in srilanka.... june 16,2,6,34,0,0,0,24,latin,16.666666666666664,0,[],none,0
maja thala marana mass thala,Positive,tamil_sentiment,tamil,Maja thala marana  mass thala,1,5,28,0,0,0,24,latin,0.0,0,"[{""word"": ""mass"", ""aspect"": ""fan_stardom"", ""confidence"": 0.5}]",fan_stardom,1
thala thala thala solla vaarthtai illai,Positive,tamil_sentiment,tamil,Thala thala thala solla vaarthtai illai,1,6,39,0,0,0,34,latin,0.0,0,[],none,0
jayam ravi thalaivar kitta bagiranga mannippu kekkalanna indha padatha purakkanippom twitter hashtag pathingala thalaivar fans power ra boycot comali,Positive,tamil_sentiment,tamil,Jayam Ravi thalaivar kitta bagiranga mannippu kekkalanna indha padatha purakkanippom Twitter hashtag pathingala thalaivar fans power Ra Boycot comali,1,19,149,0,0,0,131,latin,0.0,0,"[{""word"": ""fans"", ""aspect"": ""fan_stardom"", ""confidence"": 1.0}]",fan_stardom,1
padam asuran madhiri oduna na motta adichikuren,Mixed_feelings,tamil_sentiment,tamil,Padam asuran madhiri oduna na motta adichikuren,1,7,47,0,0,0,41,latin,0.0,2,[],none,0
semma trailer super surya fans like,unknown_state,tamil_sentiment,tamil,Semma trailer super surya fans like,1,6,35,0,0,0,30,latin,0.0,3,"[{""word"": ""trailer"", ""aspect"": ""trailer_teaser"", ""confidence"": 1.0}, {""word"": ""fans"", ""aspect"": ""fan_stardom"", ""confidence"": 1.0}]",trailer_teaser,2
surya is super surya fans like adikku makkaalllee,Positive,tamil_sentiment,tamil,Surya is super Surya fans like adikku makkaallleeee,1,8,49,0,0,0,42,latin,0.0,0,"[{""word"": ""fans"", ""aspect"": ""fan_stardom"", ""confidence"": 1.0}]",fan_stardom,1
94k likes for 300k likes less then 3hrs,unknown_state,tamil_sentiment,tamil,94K likes for 300K likes less then 3hrs,1,8,39,0,0,0,26,latin,0.0,3,[],none,0
mokka bhairava teaser ela but naa suriya fan taan,Positive,tamil_sentiment,tamil,mokka bhairava teaser ela but naa suriya fan taan,1,9,49,0,0,0,41,latin,0.0,0,"[{""word"": ""teaser"", ""aspect"": ""trailer_teaser"", ""confidence"": 1.0}, {""word"": ""fan"", ""aspect"": ""fan_stardom"", ""confidence"": 1.0}]",trailer_teaser,2
enuku visuvasam padatha pathatha parithavama iruku..,Negative,tamil_sentiment,tamil,enuku visuvasam padatha pathatha parithavama iruku..,1,6,52,0,0,0,45,latin,0.0,1,[],none,0
surya ku love seen irukadhu polaiyee,Negative,tamil_sentiment,tamil,Surya Ku love seen irukadhu polaiyee🤔🤔🤔🤔,1,6,36,0,0,0,31,latin,0.0,1,[],none,0
ayoo vanthuruvanga ithu like panu athuku like panu nu,Negative,tamil_sentiment,tamil,Ayoo vanthuruvanga Ithu like panu athuku like panu nu 🤐🤐,1,9,53,0,0,0,45,latin,0.0,1,[],none,0
who all r waiting for 1 million likes,Positive,tamil_sentiment,tamil,WHO ALL R WAITING FOR 1 MILLION LIKES,1,8,37,0,0,0,29,latin,12.5,0,[],none,0
pakistani movi na indian movi ka record tor dia salman khan b hairan open link,Negative,tamil_sentiment,tamil,Pakistani movi na indian movi ka record tor dia salman khan b hairan open link,1,15,78,0,0,0,64,latin,0.0,1,[],none,0
marana mass.. love you thalaiva.,Positive,tamil_sentiment,tamil,Marana Massssss..... Love you Thalaiva.,2,5,32,0,0,0,25,latin,0.0,0,"[{""word"": ""mass"", ""aspect"": ""fan_stardom"", ""confidence"": 0.5}]",fan_stardom,1
விளையாடிட்டு பொழுது போறதுக்குள்ள வீட்டுக்கு சீக்கிரம் வந்துருப்பானு அம்மா சொல்லுவாங்க. எதுக்கு சொன்னாங்கனு jada trailer பாக்கும்போது தெரியுது.,Positive,tamil_sentiment,tamil,விளையாடிட்டு பொழுது போறதுக்குள்ள வீட்டுக்கு சீக்கிரம் வந்துருப்பானு அம்மா சொல்லுவாங்க. எதுக்கு சொன்னாங்கனு JADA TRAILER பாக்கும்போது தெரியுது.,2,14,142,116,0,0,11,tamil,14.285714285714285,0,"[{""word"": ""trailer"", ""aspect"": ""trailer_teaser"", ""confidence"": 1.0}]",trailer_teaser,1
tevidiya pasanga naxalite ku support panranunga,Negative,tamil_sentiment,tamil,Tevidiya pasanga naxalite ku support panranunga,1,6,47,0,0,0,42,latin,0.0,1,[],none,0
ngk teaser marana mass..padam vera levela irrukka pogudhu..,Positive,tamil_sentiment,tamil,NGK Teaser marana mass.....padam vera levela irrukka pogudhu....,1,8,59,0,0,0,48,latin,0.0,0,"[{""word"": ""teaser"", ""aspect"": ""trailer_teaser"", ""confidence"": 1.0}, {""word"": ""mass"", ""aspect"": ""trailer_teaser"", ""confidence"": 1.0}]",trailer_teaser,2
thala ne va thala unakaga naanga irukom thala. thaa thala vararu oram ponga da.,Positive,tamil_sentiment,tamil,Thala ne va thala unakaga naanga irukom thala... thaa thala vararu oram ponga da...,2,14,79,0,0,0,64,latin,0.0,0,[],none,0
you like natpe thunai like and message murruku comment,unknown_state,tamil_sentiment,tamil,You like natpe thunai like and message murruku comment,1,9,54,0,0,0,46,latin,0.0,3,[],none,0
super .. star. chitti .. rockzz..,Positive,tamil_sentiment,tamil,Super .... star...  chitti ..... rockzz....,4,6,33,0,0,0,21,latin,33.33333333333333,0,[],none,0
anbu ezhuchi ithula thodanguthu da marana waiting,Positive,tamil_sentiment,tamil,Anbu ezhuchi ithula thodanguthu da Marana waiting,1,7,49,0,0,0,43,latin,0.0,0,[],none,0
vaasu yaar adhu aiyo namma mind shruthi hassan pakkam podhe,Positive,tamil_sentiment,tamil,Vaasu yaar adhu aiyo namma mind shruthi hassan pakkam podhe,1,10,59,0,0,0,50,latin,0.0,0,[],none,0
ஆயுத எழுத்தில் ரத்த சரித்திரம் வரைந்த இந்த நந்த கோபாலன் குமரன் சாதிப்பான். இப்படிக்கு உழைப்பாளர் தின நாயகன் ரசிகன்,Positive,tamil_sentiment,tamil,ஆயுத எழுத்தில் ரத்த சரித்திரம் வரைந்த இந்த நந்த கோபாலன் குமரன் சாதிப்பான்... இப்படிக்கு உழைப்பாளர் தின நாயகன் ரசிகன்,2,15,114,99,0,0,0,tamil,0.0,0,[],none,0
முதல்ல சாதிய உயர்த்தி படம் எடுக்கரவனையும் சாதிய ஒழிக்குரேனு சொல்லி படம் எடுக்கரவனையும் உதைக்கனும் அப்புறம் இந்த ஜாதி ஒழிப்பு மேல் ஜாதிக்காரன் வீட்டு பொண்ன கட்டி உறவுக்காரன் ஆனாதா முடியும் சொல்லித்தரவன செருப்பால் அடிக்கனும் ஜாதி ஒழிப்புங்கரது கீழ இருக்கரவன் அவனுக்கு சமமாத்தான் வரனுமே தவிர அவனாகுரது இல்லை அவனுக்கே சமமா கல்வி வேலைவாய்ப்பு பொருளாதாரத்துல முன்னேரதுதான் அப்படி முன்னேறிட்ட அவன் உனக்கு செஞ்சத நீ அவனுக்கு செய்யாத காரணம் உனக்கு வலிச்ச மாதிரிதான் அவனுக்கும் வலிக்கும் ஆனால் கடந்தகால ஜாதி ஒழிப்புங்கரது தவறா கற்ப்பிக்கப்பட்டதின் விளைவே இன்றைய நவீன ஜாதி வெறியின் மூலக்காரணம்,unknown_state,tamil_sentiment,tamil,முதல்ல சாதிய உயர்த்தி படம் எடுக்கரவனையும் சாதிய ஒழிக்குரேனு சொல்லி படம் எடுக்கரவனையும் உதைக்கனும்  அப்புறம் இந்த ஜாதி ஒழிப்பு மேல் ஜாதிக்காரன் வீட்டு பொண்ன கட்டி உறவுக்காரன் ஆனாதா முடியும் சொல்லித்தரவன செருப்பால் அடிக்கனும் ஜாதி ஒழிப்புங்கரது கீழ இருக்கரவன் அவனுக்கு சமமாத்தான் வரனுமே தவிர அவனாகுரது இல்லை  அவனுக்கே சமமா கல்வி வேலைவாய்ப்பு பொருளாதாரத்துல முன்னேரதுதான் அப்படி முன்னேறிட்ட அவன் உனக்கு செஞ்சத நீ அவனுக்கு செய்யாத காரணம் உனக்கு வலிச்ச மாதிரிதான் அவனுக்கும் வலிக்கும்  ஆனால் கடந்தகால ஜாதி ஒழிப்புங்கரது தவறா கற்ப்பிக்கப்பட்டதின் விளைவே இன்றைய நவீன ஜாதி வெறியின் மூலக்காரணம்,1,68,582,515,0,0,0,tamil,0.0,3,[],none,0
797k left for 14m views,unknown_state,tamil_sentiment,tamil,797K left for 14M views,1,5,23,0,0,0,14,latin,0.0,3,[],none,0
viswasam ku irundha opening iduku illa y .still only 10 m.viswasam trailer 14 m in one day.edo onu miss aavudu,Positive,tamil_sentiment,tamil,viswasam Ku irundha opening iduku illa y🤔.still only 10 M.viswasam trailer 14 M in one day.edo onu miss aavudu,1,20,110,0,0,0,84,latin,10.0,0,"[{""word"": ""trailer"", ""aspect"": ""trailer_teaser"", ""confidence"": 1.0}]",trailer_teaser,1
0.42 bgm vera level gvp..vetri maaran no words,Positive,tamil_sentiment,tamil,0.42 bgm vera level gvp.....Vetri maaran no words,1,8,46,0,0,0,33,latin,12.5,0,"[{""word"": ""bgm"", ""aspect"": ""music_bgm"", ""confidence"": 1.0}]",music_bgm,1
ajith style ke and avaroda hard work ke 5 times paakalam,Positive,tamil_sentiment,tamil,ajith style ke and avaroda hard work ke 5 times paakalam,1,11,56,0,0,0,45,latin,9.090909090909092,0,[],none,0
naanum thala rasikan thaan aana intha padam sema mokkaiyathaan irukkum naan intha padaa thha paaka theatrekke pogamatten mokkaiya irukkum ',Negative,tamil_sentiment,tamil,naanum thala rasikan thaan aana intha padam sema mokkaiyathaan irukkum naan intha padaa thha paaka theatrekke pogamatten mokkaiya irukkum	#&#*'&#(#&@,1,20,139,0,0,0,119,latin,5.0,1,[],none,0
vera vera vera level thala top takker,Positive,tamil_sentiment,tamil,Vera vera vera level thala top takker,1,7,37,0,0,0,31,latin,0.0,0,[],none,0
rajini arasiyaluku varuvathu uruthi ..marana pangam,Positive,tamil_sentiment,tamil,Rajini arasiyaluku varuvathu uruthi ..Marana pangam,1,6,51,0,0,0,44,latin,0.0,0,[],none,0
695 k likes reached aairuku pangalingala adichi thookalamaa,Positive,tamil_sentiment,tamil,695 k likes reached aairuku  pangalingala adichi thookalamaa,1,8,59,0,0,0,49,latin,12.5,0,[],none,0
அவுங்கவுங்க வீட்டு பொண்ணு அவுங்கவுங்க வீட்டுக்கு முக்கியம் அதுக்காக எந்த எல்லைக்கு போகலாம் திரெளபதி திரைப்படம் வெற்றி பெற வாழ்த்துக்கள்.,Positive,tamil_sentiment,tamil,அவுங்கவுங்க வீட்டு பொண்ணு அவுங்கவுங்க வீட்டுக்கு முக்கியம் அதுக்காக எந்த எல்லைக்கு போகலாம் திரெளபதி திரைப்படம் வெற்றி பெற வாழ்த்துக்கள்...,1,15,136,121,0,0,0,tamil,0.0,0,[],none,0
இதோ நீங்கள் தேடிக்கொண்டுள்ள தமிழ் comment,unknown_state,tamil_sentiment,tamil,இதோ நீங்கள் தேடிக்கொண்டுள்ள தமிழ் Comment 🤗,1,5,41,30,0,0,7,tamil,20.0,3,[],none,0
