model,setting,source,target,encoder_finetune_layers,sentiment_accuracy,sentiment_f1_macro,trend_f1_macro,trajectory_accuracy,trajectory_f1_macro,scs_mean
full_model (OpinionEvolutionTracker),in-domain,amazon,amazon,0,0.670008846947803,0.5328976677685477,0.5749252746115304,0.5675,0.5471433687684858,0.5635779547626006
full_model (OpinionEvolutionTracker),in-domain,dravidian_tamil,dravidian_tamil,0,0.5134168157423972,0.3929858649487207,0.44499260398993795,0.528324388789505,0.2678432936408067,0.3062015503875969
attention_only,in-domain,amazon,amazon,0,0.575641403715718,0.471532304046349,,0.4375,0.33068011524367247,0.5197937221447283
attention_only,in-domain,dravidian_tamil,dravidian_tamil,0,0.48598688133571855,0.39204099469038906,,0.5849731663685152,0.23469405003380664,0.30873583780560526
lstm_only,in-domain,amazon,amazon,0,0.5664995576526098,0.4377298164099442,,0.46,0.42495390680893813,0.8924611140171319
lstm_only,in-domain,dravidian_tamil,dravidian_tamil,0,0.3862850327966607,0.29334121178096667,,0.5175909361955874,0.2623840909623931,0.6584675014907573
mbert_sentence,in-domain,amazon,amazon,0,0.5726924211147154,0.4836688036926991,,,,
mbert_sentence,in-domain,dravidian_tamil,dravidian_tamil,0,0.5218843172331544,0.4197687749744217,,,,
textcnn,in-domain,amazon,amazon,,0.5390740194632851,0.4270879383946952,,,,
textcnn,in-domain,dravidian_tamil,dravidian_tamil,,0.40322003577817533,0.3513938619631498,,,,
xlmr_sentence,in-domain,amazon,amazon,0,0.780005897965202,0.6188092001427501,,,,
xlmr_sentence,in-domain,dravidian_tamil,dravidian_tamil,0,0.4256410256410256,0.36688145654365323,,,,
full_model (OpinionEvolutionTracker),cross-domain,amazon,dravidian_tamil,,0.5428741800834824,0.230017913431888,,0.5086463923673226,0.23822197834168038,0.75551580202743
full_model (OpinionEvolutionTracker),cross-domain,amazon,dravidian_malayalam,,0.3125171939477304,0.20380407907250908,,0.2902338376891334,0.17468184580391918,0.4769601100412655
full_model (OpinionEvolutionTracker),cross-domain,amazon,dravidian_kannada,,0.43282442748091604,0.2213840965243426,,0.42366412213740456,0.26981404108224016,0.5677480916030534
full_model (OpinionEvolutionTracker),cross-domain,dravidian_tamil,amazon,,0.3751105868475376,0.25053854598128117,,0.4275,0.22844845213266265,0.41235773908539003
full_model (OpinionEvolutionTracker),cross-domain,dravidian_tamil,dravidian_malayalam,,0.3488308115543329,0.2878281417548768,,0.4731774415405777,0.22684602581797514,0.26925722145804676
full_model (OpinionEvolutionTracker),cross-domain,dravidian_tamil,dravidian_kannada,,0.3984732824427481,0.29025518873116857,,0.5610687022900763,0.28122155613445904,0.26049618320610685
