text,label,dataset,language,text_original,sentence_count,word_count,char_count,script_tamil,script_malayalam,script_kannada,script_latin,dominant_script,code_mix_index,label_encoded,wsd_aspects,wsd_primary_aspect,wsd_aspect_count
sathyam parayanallo trailer vijarichathra angudu kalangiyilla..nnalum all the best,Mixed_feelings,mal_sentiment,mal,Sathyam parayanallo trailer vijarichathra angudu kalangiyilla....nnalum all the best,1,9,82,0,0,0,72,latin,0.0,2,"[{""word"": ""trailer"", ""aspect"": ""trailer_teaser"", ""confidence"": 1.0}]",trailer_teaser,1
jayettaa ente chunkkeee sabu chettan,unknown_state,mal_sentiment,mal,Jayettaaaa ente chunkkeee🥰 Sabu Chettan 🥰,1,5,36,0,0,0,32,latin,0.0,3,[],none,0
നായകൻമാരെ കണ്ട് കഴിഞ്ഞ സ്ഥിതിക്ക് ഇനി വില്ലന്റെ ഊഴം fafa,unknown_state,mal_sentiment,mal,നായകൻമാരെ കണ്ട് കഴിഞ്ഞ സ്ഥിതിക്ക് ഇനി വില്ലന്റെ ഊഴം FaFa,1,8,56,0,45,0,4,malayalam,12.5,3,[],none,0
1 38 ee scene kaanaan vendi trailer kaanunnath aarokke ??,unknown_state,mal_sentiment,mal,1:38 ee scene kaanaan vendi trailer kaanunnath aarokke ??,1,10,57,0,0,0,43,latin,30.0,3,"[{""word"": ""trailer"", ""aspect"": ""trailer_teaser"", ""confidence"": 1.0}]",trailer_teaser,1
മാമാകും കഴിഞ്ഞാൽ shylocin nalla hyp kodukanam,Positive,mal_sentiment,mal,മാമാകും കഴിഞ്ഞാൽ shylocin nalla hyp kodukanam,1,6,45,0,15,0,25,latin,33.33333333333333,0,[],none,0
karaoke upload cheuukaya my chanal subscribe plz,unknown_state,mal_sentiment,mal,karaoke upload cheuukaya my chanal subscribe plz,1,7,48,0,0,0,42,latin,0.0,3,[],none,0
virus trailer kande evide vannavare undo,unknown_state,mal_sentiment,mal,Virus trailer kande evide vannavare undo,1,6,40,0,0,0,35,latin,0.0,3,"[{""word"": ""trailer"", ""aspect"": ""trailer_teaser"", ""confidence"": 1.0}]",trailer_teaser,1
ratchasan bgm അടിച്ചു മാറ്റിയ ഗോപി സുന്ദര്,Negative,mal_sentiment,mal,Ratchasan bgm അടിച്ചു മാറ്റിയ ഗോപി സുന്ദര്‍,1,6,42,0,25,0,12,malayalam,33.33333333333333,1,"[{""word"": ""bgm"", ""aspect"": ""music_bgm"", ""confidence"": 1.0}]",music_bgm,1
ആറ്റം എൈറ്റമല്ല ഒരു അമട്ടിക്കന് ഇടിവെട്ട് ടീസര് ഇക്ക മരണ മാസ്സ്,Positive,mal_sentiment,mal,ആറ്റം എൈറ്റമല്ല ഒരു അമട്ടിക്കന് ഇടിവെട്ട് ടീസര്  ഇക്ക മരണ മാസ്സ്,1,9,63,0,55,0,0,malayalam,0.0,0,[],none,0
appo raja inte anniyan prithviraj avide?,unknown_state,mal_sentiment,mal,Appo raja inte anniyan prithviraj avide?,1,6,40,0,0,0,34,latin,0.0,3,[],none,0
ഈ ഡയലോഗ് മറ്റ് ലാംഗ്വേജ് കളിലേക് ഡബ്ബ് ചെയ്യുമ്പോ എങ്ങനെ. യിരിക്കും അല്ലെ,unknown_state,mal_sentiment,mal,ഈ ഡയലോഗ് മറ്റ് ലാംഗ്വേജ് കളിലേക് ഡബ്ബ് ചെയ്യുമ്പോ എങ്ങനെ... യിരിക്കും അല്ലെ,2,10,73,0,63,0,0,malayalam,0.0,3,"[{""word"": ""ഡയലോഗ്"", ""aspect"": ""dialogue"", ""confidence"": 1.0}]",dialogue,1
ittichante vaka oru sample vedikettu koodi,unknown_state,mal_sentiment,mal,Ittichante vaka oru sample vedikettu koodi,1,6,42,0,0,0,37,latin,0.0,3,[],none,0
"teaser kandu ,ee songum kandu.ellarum ithokke kandittu avarku oru samshayam ee mamangathil unniyettan unni mukundan ano nayakan ennuuu.enthayalum unniyettante aa mass kanan vendii kattaa waiting.kandavellam parayunnu unniyettan kolaamassaa mamangathil ennuu.unniyettan istam.unniyettane istam ollavar like adikan marakalle",Positive,mal_sentiment,mal,"Teaser kandu ,Ee Songum kandu.Ellarum Ithokke Kandittu Avarku Oru Samshayam ee Mamangathil Unniyettan (Unni Mukundan) ano Nayakan Ennuuu.enthayalum Unniyettante aa Mass Kanan Vendii Kattaa Waiting.Kandavellam Parayunnu Unniyettan KolaaMassaa Mamangathil Ennuuuu.UNNIYETTAN ISTAM.Unniyettane Istam Ollavar like adikan Marakalle",1,36,322,0,0,0,281,latin,0.0,0,"[{""word"": ""teaser"", ""aspect"": ""trailer_teaser"", ""confidence"": 1.0}, {""word"": ""mass"", ""aspect"": ""fan_stardom"", ""confidence"": 0.5}]",trailer_teaser,2
ആരോ ഒരാളല്ല നമ്മുടെ ഏട്ടൻ ബിഗ് ബ്രദർ..,unknown_state,mal_sentiment,mal,ആരോ ഒരാളല്ല നമ്മുടെ ഏട്ടൻ ബിഗ് ബ്രദർ....,1,6,38,0,31,0,0,malayalam,0.0,3,[],none,0
sajeev pilla enna samvidhayakante kanneerinte vilayaanu ee sinima. chathi.,Negative,mal_sentiment,mal,sajeev pilla enna samvidhayakante kanneerinte vilayaanu ee sinima. chathi.,2,9,74,0,0,0,64,latin,0.0,1,[],none,0
മിഥുൻ എല്ലതരം സിനിമയും ചെയ്യുന്ന ഒരു മികച്ച സംവിധായകൻ ആണ് ആട് വേറേ ലെവൽ,Positive,mal_sentiment,mal,മിഥുൻ എല്ലതരം സിനിമയും ചെയ്യുന്ന ഒരു മികച്ച സംവിധായകൻ ആണ്  ആട് വേറേ ലെവൽ,1,11,71,0,61,0,0,malayalam,0.0,0,[],none,0
super padam cute song ellarum poli acting dislike adicha kann adich pottikkum bonney parayan paranju,Positive,mal_sentiment,mal,super padam  cute song  ellarum  poli acting  dislike adicha kann adich pottikkum bonney parayan paranju,1,15,100,0,0,0,86,latin,0.0,0,"[{""word"": ""song"", ""aspect"": ""music_bgm"", ""confidence"": 1.0}, {""word"": ""acting"", ""aspect"": ""hero_character"", ""confidence"": 1.0}]",music_bgm,2
ദൈവമേ 1 മില്യ൯. . ഒറ്റപേര് മോഹ൯ലാൽ.,Positive,mal_sentiment,mal,ദൈവമേ 1 മില്യ൯...    ...  ഒറ്റപേര്    മോഹ൯ലാൽ...,3,6,35,0,26,0,0,malayalam,33.33333333333333,0,[],none,0
padam average filim mathrameyullu fansukar pokkiparayunna rasamonnum padathinnillaa,Mixed_feelings,mal_sentiment,mal,Padam average filim mathrameyullu fansukar pokkiparayunna rasamonnum padathinnillaa,1,8,83,0,0,0,76,latin,0.0,2,[],none,0
"ഇക്ക ഫാൻ ആണ്.. കുറച്ച് വർഷങ്ങളായി ലാലേട്ടന്റെ ഒരു പടത്തിനു കാത്തുനിൽക്കുന്നത് ഇല്ലാത്തത്. പക്ഷെ ഇതങ്ങോട്ട് ബോധിച്ചു. സംഭവം കളറായിട്ടുണ്ട്, ഈ ഓണം ഇട്ടിമാണിക്ക് സ്വന്തം എന്ന് പ്രതീക്ഷിക്കുന്നു. ഓണാശംസകൾ",Positive,mal_sentiment,mal,"ഇക്ക ഫാൻ ആണ്..  കുറച്ച് വർഷങ്ങളായി ലാലേട്ടന്റെ ഒരു പടത്തിനു കാത്തുനിൽക്കുന്നത് ഇല്ലാത്തത്. പക്ഷെ ഇതങ്ങോട്ട് ബോധിച്ചു. സംഭവം കളറായിട്ടുണ്ട്,  ഈ ഓണം ഇട്ടിമാണിക്ക് സ്വന്തം എന്ന് പ്രതീക്ഷിക്കുന്നു.  ഓണാശംസകൾ",5,22,200,0,173,0,0,malayalam,0.0,0,[],none,0
lalettante adutha 100 kodi ithayirikkumodiyan enthaaa sheriyalle,unknown_state,mal_sentiment,mal,Lalettante Adutha  100 Kodi ithayirikkumodiyan  enthaaa sheriyalle,1,7,64,0,0,0,55,latin,14.285714285714285,3,[],none,0
വെറുതെ ഒരു കാര്യവും ഇല്ലാതെ ഈ ചിത്രത്തിനെ നശിപ്പിക്കാൻ നോക്കുന്നവർ വെറുതെയല്ല വെട്ടും ഭയം കൊണ്ടുമാത്രമാണ്.. ഞാൻ ഒരു മമ്മുക്ക ആരാധകൻ അല്ല. പക്ഷേ പറയാതെ വയ്യ..,Positive,mal_sentiment,mal,വെറുതെ ഒരു കാര്യവും ഇല്ലാതെ ഈ ചിത്രത്തിനെ നശിപ്പിക്കാൻ നോക്കുന്നവർ വെറുതെയല്ല വെട്ടും ഭയം കൊണ്ടുമാത്രമാണ്.. ഞാൻ ഒരു മമ്മുക്ക ആരാധകൻ അല്ല. പക്ഷേ പറയാതെ വയ്യ....,3,20,157,0,133,0,0,malayalam,0.0,0,"[{""word"": ""ആരാധകൻ"", ""aspect"": ""fan_stardom"", ""confidence"": 1.0}]",fan_stardom,1
oru rakshayilla mass trailer! mammookka,Positive,mal_sentiment,mal,Oru rakshayilla mass trailer!!!  Mammookka 🥰,2,5,39,0,0,0,34,latin,0.0,0,"[{""word"": ""mass"", ""aspect"": ""trailer_teaser"", ""confidence"": 1.0}, {""word"": ""trailer"", ""aspect"": ""trailer_teaser"", ""confidence"": 1.0}]",trailer_teaser,2
മാർഗംകളി പാട്ടിന്റെ ഷൂട്ട് ഞങ്ങളുടെ ചങ്ങരംകുളത്തായിരുന്നന്ന് ആർകൊക്കെ അറിയാം..,unknown_state,mal_sentiment,mal,മാർഗംകളി പാട്ടിന്റെ ഷൂട്ട് ഞങ്ങളുടെ ചങ്ങരംകുളത്തായിരുന്നന്ന് ആർകൊക്കെ അറിയാം....,1,7,78,0,70,0,0,malayalam,0.0,3,[],none,0
